Pen Number,Animal ID,Date,Time,Duration (s),Feed (g),Animal Weight (g)
4,982091062894196,2021-03-16,01:08,42,0,16500
4,982091062894196,2021-03-16,01:09,45,1,16300
4,982091062894196,2021-03-16,13:05,70,0,15300
4,982091062894196,2021-03-17,10:44,5,0,14400
4,982091062894196,2021-03-17,10:45,9,6,14500
4,982091062894196,2021-03-17,10:45,50,14,14400
4,982091062894196,2021-03-17,10:46,2,0,0
4,982091062894196,2021-03-17,10:46,22,0,16900
4,982091062894196,2021-03-17,10:47,25,0,14700
4,982091062894196,2021-03-17,10:48,340,0,20800
4,982091062894196,2021-03-17,10:54,6,0,18500
4,982091062894196,2021-03-17,10:54,0,0,0
4,982091062894196,2021-03-17,10:54,4,0,21500
4,982091062894196,2021-03-17,10:55,6,0,20900
4,982091062894196,2021-03-17,10:55,10,0,23100
4,982091062894196,2021-03-17,11:01,55,0,32200
4,982091062894196,2021-03-17,11:28,7,0,31600
4,982091062894196,2021-03-17,11:29,2,0,0
4,982091062894196,2021-03-17,11:50,78,0,35100
4,982091062894196,2021-03-17,11:53,78,19,26900
4,982091062894196,2021-03-17,11:55,4,0,15000
4,982091062894196,2021-03-17,11:55,22,0,28400
4,982091062894196,2021-03-17,11:56,26,8,31800
4,982091062894196,2021-03-17,11:56,10,1,15000
4,982091062894196,2021-03-17,11:57,17,4,15100
4,982091062894196,2021-03-17,11:57,18,2,15800
4,982091062894196,2021-03-17,11:57,36,6,14800
4,982091062894196,2021-03-17,11:58,57,5,15200
4,982091062894196,2021-03-17,11:59,19,2,14600
4,982091062894196,2021-03-17,11:59,16,0,14900
4,982091062894196,2021-03-17,12:00,15,2,15400
4,982091062894196,2021-03-17,12:00,5,0,14800
4,982091062894196,2021-03-17,12:38,99,7,32800
4,982091062894196,2021-03-17,12:56,22,1,14700
4,982091062894196,2021-03-17,12:57,95,0,18700
4,982091062894196,2021-03-17,12:59,3,29,0
4,982091062894196,2021-03-17,13:16,4,0,14800
4,982091062894196,2021-03-17,13:26,26,9,14700
4,982091062894196,2021-03-17,13:27,44,8,31800
4,982091062894196,2021-03-17,13:27,31,3,14800
4,982091062894196,2021-03-17,13:28,11,0,32900
4,982091062894196,2021-03-17,13:34,19,7,14500
4,982091062894196,2021-03-17,13:35,34,2,14600
4,982091062894196,2021-03-17,13:35,82,11,14400
4,982091062894196,2021-03-17,13:58,3,5,14400
4,982091062894196,2021-03-17,13:58,8,1,14700
4,982091062894196,2021-03-17,13:58,50,0,14700
4,982091062894196,2021-03-17,13:59,11,0,22400
4,982091062894196,2021-03-17,14:01,15,4,32900
4,982091062894196,2021-03-17,14:01,25,3,15000
4,982091062894196,2021-03-17,14:01,397,26,14900
4,982091062894196,2021-03-17,14:57,44,7,15300
4,982091062894196,2021-03-17,14:58,109,11,15400
4,982091062894196,2021-03-17,15:14,273,0,15000
4,982091062894196,2021-03-17,15:18,36,0,15800
4,982091062894196,2021-03-17,15:19,13,0,17000
4,982091062894196,2021-03-17,15:20,12,0,17000
4,982091062894196,2021-03-17,15:20,40,0,17000
4,982091062894196,2021-03-17,15:21,126,80,15900
4,982091062894196,2021-03-17,15:23,33,0,33600
4,982091062894196,2021-03-17,15:35,12,0,15100
4,982091062894196,2021-03-17,21:35,31,12,16000
4,982091062894196,2021-03-17,21:36,8,0,33100
4,982091062894196,2021-03-17,21:49,485,103,17000
4,982091062894196,2021-03-17,21:57,135,17,16300
4,982091062894196,2021-03-17,21:59,152,24,16400
4,982091062894196,2021-03-17,22:02,39,5,15500
4,982091062894196,2021-03-18,09:05,4,0,23700
4,982091062894196,2021-03-18,09:05,6,0,24200
4,982091062894196,2021-03-18,09:06,20,0,21400
4,982091062894196,2021-03-18,09:06,135,79,24100
4,982091062894196,2021-03-18,09:08,20,0,27600
4,982091062894196,2021-03-18,09:31,28,0,16200
4,982091062894196,2021-03-18,09:35,48,2,16200
4,982091062894196,2021-03-18,09:41,95,4,16400
4,982091062894196,2021-03-18,10:44,14,0,0
4,982091062894196,2021-03-18,10:45,45,24,16500
4,982091062894196,2021-03-18,10:47,183,35,16700
4,982091062894196,2021-03-18,11:16,463,20,16600
4,982091062894196,2021-03-18,12:24,14,3,15200
4,982091062894196,2021-03-18,12:24,21,4,15300
4,982091062894196,2021-03-18,12:25,50,0,15800
4,982091062894196,2021-03-18,12:52,4,0,0
4,982091062894196,2021-03-18,12:54,1,1,34600
4,982091062894196,2021-03-18,12:55,20,0,30600
4,982091062894196,2021-03-18,12:56,2,0,0
4,982091062894196,2021-03-18,13:21,2,0,23500
4,982091062894196,2021-03-18,13:23,0,0,23700
4,982091062894196,2021-03-18,13:30,216,28,15400
4,982091062894196,2021-03-18,13:33,68,0,15800
4,982091062894196,2021-03-18,13:35,1,0,0
4,982091062894196,2021-03-18,13:35,7,0,0
4,982091062894196,2021-03-18,13:35,15,0,32700
4,982091062894196,2021-03-18,13:36,121,0,29200
4,982091062894196,2021-03-18,13:38,250,0,30100
4,982091062894196,2021-03-18,13:43,8,0,17000
4,982091062894196,2021-03-18,13:43,22,0,19000
4,982091062894196,2021-03-18,13:44,12,0,19200
4,982091062894196,2021-03-18,14:54,246,0,15700
